05-21 15:46:42: Training starting...
05-21 15:46:42: New best reward -270.9 (-100.0%) at episode 0, saving model...
05-21 15:46:42: New best reward -113.6 (-58.1%) at episode 2, saving model...
05-21 15:46:42: New best reward -49.5 (-56.4%) at episode 6, saving model...
05-21 15:46:42: New best reward 4.4 (-108.8%) at episode 9, saving model...
05-21 15:46:43: New best reward 48.1 (+1003.8%) at episode 31, saving model...
05-21 15:46:44: New best reward 50.1 (+4.1%) at episode 409, saving model...
05-21 15:56:58: New best reward 137.3 (+174.2%) at episode 1655, saving model...
05-21 15:57:01: New best reward 157.4 (+14.7%) at episode 1843, saving model...
05-21 15:57:24: New best reward 193.5 (+22.9%) at episode 2651, saving model...
