05-21 14:37:59: Training starting...
05-21 14:38:02: New best reward -113.1 (-100.0%) at episode 0, saving model...
05-21 14:38:02: New best reward -103.3 (-8.6%) at episode 1, saving model...
05-21 14:38:02: New best reward -92.4 (-10.5%) at episode 3, saving model...
05-21 14:38:02: New best reward -72.6 (-21.5%) at episode 5, saving model...
05-21 14:38:02: New best reward 28.4 (-139.1%) at episode 21, saving model...
05-21 14:38:10: New best reward 49.9 (+76.0%) at episode 566, saving model...
05-21 14:57:47: New best reward 50.6 (+1.5%) at episode 998, saving model...
05-21 14:57:52: New best reward 137.8 (+172.1%) at episode 1546, saving model...
05-21 14:58:13: New best reward 205.5 (+49.2%) at episode 2434, saving model...
