episode,reward
0,-113.06378471878162
1,-103.31648839298428
2,-372.9147877103054
3,-92.4371516444086
4,-348.27021814405515
5,-72.57608291193907
6,-153.81887985203178
7,-270.3904096142514
8,-131.31917618882827
9,-97.70484785223404
10,-104.6666594055278
11,-127.1200833200692
12,-301.7737032222571
13,-310.8832129443712
14,-153.5197678540652
15,-86.93131237339747
16,-323.3735438832782
17,-274.0163511075175
18,-111.32246578011973
19,-135.37000929301257
20,-89.65546703081056
21,28.352871971206298
22,6.398876252922662
23,-81.73230333449982
24,-195.6218020125566
25,-388.66617513733956
26,-89.37016703498568
27,-79.45284240921856
28,-92.7460122212011
29,-158.6273567075645
30,-170.47456751739372
31,-180.98825122940184
32,-160.56056865411995
33,-310.4968720884584
34,-74.31490128373578
35,-195.38040226912747
36,-403.966496023806
37,24.167564000140004
38,-81.76130774145011
39,-413.3815486044335
40,-284.9208850497166
41,-95.32995568837767
42,-204.9125526811141
43,-165.25564627047794
44,-205.44842743138219
45,-320.0521804512076
46,-82.71976934355162
47,-184.02344777331953
48,4.896871930546709
49,-129.2711966518258
50,-561.503967398382
51,-54.24106266223285
52,5.6952601028215355
53,-279.18876935229946
54,-294.7985891326507
55,-330.1750001697545
56,-311.6193507281022
57,-137.36857216454393
58,-301.5033804579173
59,-109.5989923013214
60,-79.77693659631527
61,-97.6933668704052
62,-101.06855573724995
63,-118.2833665501978
64,-255.39461564509529
65,-109.12066079303517
66,-344.56743474820655
67,-394.8857229803272
68,-108.32499292299559
69,-368.33074168835304
70,-219.42831853460615
71,-142.4300502983691
72,-68.1416049913341
73,-349.9003292129984
74,-69.83256572863111
75,-378.6187015394188
76,-170.98646991219465
77,-105.175245573974
78,-348.51708865098783
79,-403.7113857838793
80,-68.05073263526492
81,-102.56505714116679
82,-312.6144519761321
83,-179.043018239215
84,-81.93641643186164
85,-167.23033590755048
86,-183.72531677424473
87,-105.18211932758558
88,-305.8629211675344
89,-142.18799030921224
90,-180.93072777386567
91,-115.9771012720339
92,-113.6371443309747
93,-112.96446252864231
94,-96.31090458783864
95,-166.6235023939932
96,-167.31755458378956
97,-273.33251576742595
98,-94.24872290987844
99,-126.84991441884094
100,-142.8339874037834
101,-64.4711373243141
102,-131.91803617212543
103,-183.0914169928434
104,-181.10704879137103
105,-61.801190701954724
106,-248.38891912235522
107,-174.76451170465134
108,-85.54896740068153
109,-170.9097152912521
110,-309.43216998791337
111,-371.8506032172193
112,-114.67344717521321
113,-353.4093450310231
114,-174.59697495347223
115,-405.41753448728525
116,-101.38540350600917
117,-101.812740302792
118,-91.99363459686751
119,-210.39810729720057
120,-42.567976839359645
121,-160.20793750120677
122,-160.91135965262498
123,-53.829014044154064
124,-205.68832817314214
125,-158.26038536269613
126,-220.5535576279098
127,-109.67865043318
128,-126.49666887186905
129,-237.05510617617531
130,-478.42950137990067
131,-328.1369332106085
132,-190.80033325207415
133,-389.334269857149
134,-137.3905482994649
135,-90.68902723317764
136,-89.75587827290796
137,-365.17483110259013
138,-93.47741256561939
139,-288.33453417964574
140,-54.86001257574151
141,-216.84330289846417
142,-214.49291318936847
143,-109.28589890223634
144,-39.95133246686051
145,-123.96597939318269
146,-401.5394149646598
147,-53.784046164765215
148,-71.45241517498305
149,-220.78488430195853
150,-470.45411625512423
151,-239.07338837896722
152,-88.78497278584148
153,-188.0145670143482
154,-132.7904623282529
155,-469.1380049406477
156,-136.78198111405672
157,-208.0901700052491
158,-275.6248260631768
159,-247.6126293390763
160,-238.66335072518817
161,-333.49715009221563
162,-182.17592221263692
163,-392.7333406317055
164,-159.97017240666202
165,-142.2610574037962
166,-309.08164137286553
167,-76.36849669395218
168,-134.10232359843232
169,-379.1138704676375
170,-266.81505729508075
171,-393.0267659010023
172,-177.8317581094446
173,-318.01408410713634
174,-307.4556415487818
175,-176.71412006988146
176,-145.52023836630747
177,-92.00347614922715
178,-304.4001364397848
179,-74.98704176428629
180,-144.77658769586677
181,-146.8103967022083
182,-123.15078779526405
183,-79.34286064769164
184,-120.04343315118736
185,-331.5962287787103
186,-182.02548533127572
187,-95.17276094563101
188,-75.6635588682013
189,-92.6793724836497
190,-241.32467969626654
191,-242.5266647647919
192,-226.43326980051634
193,-253.1123076141566
194,-228.06503959183075
195,-69.68788040282239
196,-100.05937816971037
197,-112.47339463783157
198,-303.45544756739247
199,-102.10964992557548
200,-176.75214173222304
201,-250.05835853990394
202,-486.6180301841109
203,-453.78356550525274
204,-90.76402391440303
205,-126.55674492729871
206,-96.45347395543567
207,-337.28784315590735
208,-319.1325651954717
209,-76.96829502929174
210,-172.73355754658536
211,-184.268913175735
212,-349.47812376854574
213,-161.40983278099677
214,-347.889635641556
215,-102.87900216974488
216,-231.527220257279
217,-124.4995612978957
218,-290.9690559480333
219,-394.78490730958646
220,-229.25481587501753
221,-269.15413707899495
222,-83.57166425537679
223,-308.4243575332764
224,-124.64753668953597
225,-147.65495297061796
226,-229.63994227240937
227,-65.73618882872465
228,-102.6795773911855
229,-125.49125421871513
230,-262.68943850088004
231,-148.16676772499025
232,-360.70563063484843
233,-256.58204169152873
234,-199.0580056682391
235,-321.2791520669508
236,-81.39247721454466
237,-448.82245621314445
238,-2.159543887886173
239,-392.53474914211455
240,-306.84899984666527
241,-281.59307229033675
